station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1171,0,867,0,0.36806148590947907
LXE,898,0,1002.6000000000001,0,0.5389755011135857
LXS,892,0,869.5999999999999,0,0.4730941704035874
LXM,806,209,992,13.5,0.3709677419354839
LXN,619,415,1072.0000000000002,178,0.23263327948303716
N3,103,0,326.2,0,0.6601941747572816
S4,30,0,211.40000000000003,0,0.7
W2,24,0,262.59999999999997,0,0.5833333333333334
W1,23,0,374.6000000000001,0,0.6086956521739131
WCPD,21,0,585,0,0.8095238095238095
W3,3,0,724.7999999999998,0,0
CHPD,2,0,0,0,1
N1,2,0,0,0,0.5
N2,2,0,0,0,0.5
S1,2,0,0,0,0
SPPD,2,0,0,0,0.5
S2,1,0,0,0,0
SCPD,1,10,10,10,1
