station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1096,0,973,0,0.26094890510948904
LXM,909,277,973.4000000000001,73,0.3949394939493949
LXS,843,209,1081.4,44,0.3819691577698695
LXE,836,1,1094,0,0.4449760765550239
LXN,619,423,1082.0000000000002,210,0.2358642972536349
N3,59,0,495.0000000000001,0,0.5254237288135594
W1,24,0,758.2999999999997,0,0.375
S4,22,0,777.1000000000008,0,0.18181818181818182
W2,18,0,3.000000000000007,0,0.6666666666666666
WCPD,16,0,0,0,0.9375
IRPD,4,0,0,0,0.5
S1,3,0,0,0,0.3333333333333333
S3,3,0,0,0,0
BLPD,2,1025.5,1845.8999999999999,1025.5,0
CHPD,1,12,12,12,0
GAPD,1,0,0,0,1
N1,1,0,0,0,0
PEPD,1,0,0,0,1
S2,1,0,0,0,0
SWPD,1,0,0,0,1
W3,1,0,0,0,0
