station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1095,0,932.4000000000001,0,0.27579908675799086
LXE,950,0,1145.1000000000004,0,0.48526315789473684
LXS,925,134,1070.4,0,0.4281081081081081
LXM,870,279.5,1164.7000000000003,12.5,0.3793103448275862
LXN,633,367,1218.8000000000006,131,0.30963665086887837
N3,77,0,364.80000000000035,0,0.5844155844155844
W2,44,0,571.7000000000002,0,0.5227272727272727
W1,31,0,376,0,0.3870967741935484
S4,22,0,121.90000000000002,0,0.6818181818181818
WCPD,14,0,0,0,0.8571428571428571
IRPD,3,868,875.1999999999999,868,0
N2,3,0,0.7999999999999998,0,0
CHPD,2,0,0,0,1
S1,2,0,0,0,0
SPPD,2,183,329.4,0,0.5
BLPD,1,1,1,0,1
CAPD,1,0,0,0,1
PEPD,1,3,3,3,0
W3,1,0,0,0,0
W4,1,1065,1065,1065,0
