station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1214,0,849.1000000000001,0,0.35831960461285006
LXS,1212,0,800.9000000000001,0,0.556930693069307
LXE,930,0,1026.1,0,0.5129032258064516
LXM,896,1,917.5,0,0.4419642857142857
LXN,652,438.5,1145.9,219.5,0.2254601226993865
N3,76,0,749,0,0.5789473684210527
W1,25,0,668.6000000000004,0,0.56
S4,23,0,812.6000000000001,0,0.4782608695652174
W2,20,0,366.10000000000025,0,0.5
WCPD,15,0,0.5999999999999996,0,1
S1,3,0,246.39999999999995,0,0.3333333333333333
W3,3,426,682.8,426,0
N2,2,310.5,558.9,310.5,0
CHPD,1,0,0,0,1
GAPD,1,0,0,0,0
N1,1,0,0,0,1
S2,1,0,0,0,0
SPPD,1,866,866,866,0
