station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1378,0,939.3,0,0.34615384615384615
LXM,1099,0,1075.2,0,0.456778889899909
LXS,992,0,965,0,0.4415322580645161
LXE,889,0,1082.2,0,0.4634420697412823
LXN,778,360,1124.1000000000004,128,0.28406169665809766
N3,78,0,371.9999999999999,0,0.7435897435897436
W1,43,0,376.60000000000025,0,0.627906976744186
W2,39,0,141.00000000000094,0,0.6410256410256411
S4,23,0,1,0,0.782608695652174
WCPD,9,0,444.79999999999916,0,0.4444444444444444
W3,4,413.5,3621.1000000000004,14,0.25
N1,2,97,174.6,97,0
CAPD,1,2712,2712,2712,0
GAPD,1,1432,1432,1432,0
IRPD,1,0,0,0,0
N2,1,0,0,0,0
PIPD,1,0,0,0,0
S2,1,397,397,397,0
SCPD,1,0,0,0,1
SWPD,1,0,0,0,1
