year,n,mean_call_to_arrive_min,p90_call_to_arrive_min,proactive_share
all,69143,6.0843381353629695,16.833333333333332,0.28992088859320536
2022,7270,6.814906596614127,17.86833333333334,0.26052269601100414
2023,23289,6.3552184728531165,17.58166666666669,0.28567134698784835
2024,21370,6.222814319771769,16.716666666666665,0.26883481516144125
2025,17214,5.255412327947332,15.510000000000007,0.33426280934123387
