station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1163,0,996,0,0.30954428202923473
LXS,1013,1,1000,0,0.4155972359328727
LXM,944,137.5,1042.8000000000002,0,0.4152542372881356
LXE,908,0,1107.6000000000001,0,0.44383259911894274
LXN,731,419,1152,182,0.2079343365253078
N3,63,0,888.6000000000004,0,0.5873015873015873
S4,36,0,271.5,0,0.7222222222222222
W2,32,0,556.8000000000001,0,0.6875
W1,26,0,606,0,0.4230769230769231
WCPD,20,0,0,0,0.6
S2,4,0,886.2000000000003,0,0.25
GAPD,2,793.5,1426.6999999999998,794,0
N2,2,0,0,0,0
BLPD,1,0,0,0,0
IRPD,1,0,0,0,1
N1,1,0,0,0,1
SCPD,1,0,0,0,0
SPPD,1,0,0,0,0
W3,1,0,0,0,0
