station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1067,1,983.8,0,0.2521087160262418
LXS,818,173.5,1072.1000000000004,2.5,0.3508557457212714
LXM,792,347,1102.3999999999999,130.5,0.2828282828282828
LXE,760,1,1132.4000000000003,0,0.38026315789473686
LXN,551,506,1105,285,0.13793103448275862
N3,48,0,1265.8000000000002,0,0.2708333333333333
W2,26,0,789,0,0.5
WCPD,17,0,217.80000000000018,0,0.8235294117647058
S4,15,1,639.5999999999998,0,0.26666666666666666
W1,14,0,897.9000000000001,0,0.5
W3,6,0.5,822,0,0
S1,4,0,572.6000000000001,0,0.25
GAPD,3,0,0,0,0.3333333333333333
N2,3,41,1444.1999999999998,41,0
BLPD,1,0,0,0,1
CAPD,1,0,0,0,0
CHPD,1,0,0,0,1
IRPD,1,122,122,0,0
SPPD,1,268,268,268,0
