station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1268,0,818.7999999999997,0,0.35962145110410093
LXM,1135,0,943,0,0.5444933920704845
LXS,1125,0,824.6,0,0.5635555555555556
LXE,914,0,1016.8000000000002,0,0.5273522975929978
LXN,642,408,1115.9,166,0.26791277258566976
N3,76,0,929.5,0,0.6578947368421053
W1,34,0,248.69999999999982,0,0.6470588235294118
WCPD,28,0,0.3000000000000007,0,0.8928571428571429
S4,27,0,830.8000000000004,0,0.5185185185185185
W2,21,0,0,0,0.7142857142857143
S1,4,250,501.4,155.5,0.25
W3,3,0,0.7999999999999998,0,0.3333333333333333
IRPD,2,455,818.9999999999999,389,0.5
S2,2,131.5,236.7,50.5,0
BLPD,1,2302,2302,2302,0
N1,1,1,1,0,1
N2,1,2588,2588,2588,0
PEPD,1,0,0,0,1
