station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1258,0,1026.0999999999997,0,0.37917329093799684
LXM,851,1,1065,0,0.4289071680376028
LXS,820,0.5,1113.2000000000003,0,0.44146341463414634
LXE,761,0,1197,0,0.4730617608409987
LXN,606,333,1119.5,134,0.30363036303630364
N3,44,0,569.0000000000002,0,0.5681818181818182
S4,27,0,0.40000000000000213,0,0.8518518518518519
W2,27,0,376.4000000000001,0,0.5925925925925926
W1,14,0.5,776.8000000000008,0,0.5714285714285714
WCPD,11,1,1824,0,0.45454545454545453
CCSD,2,0,0,0,1
N1,2,0,0,0,0.5
N2,2,0,0,0,0
S2,2,0,0,0,1
GAPD,1,0,0,0,0
IRPD,1,0,0,0,0
