station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,1311,0,861,0,0.38596491228070173
LXS,1141,0,903,0,0.5346187554776511
LXE,1076,0,923,0,0.5762081784386617
LXM,866,272.5,964.5,31.5,0.4006928406466513
LXN,665,425,1106,209,0.22556390977443608
N3,61,0,340,0,0.6229508196721312
W1,35,0,1,0,0.7428571428571429
W2,35,0,1,0,0.7428571428571429
S4,33,0,106.6000000000001,0,0.48484848484848486
WCPD,27,0,529.0000000000003,0,0.7037037037037037
W3,3,949,3443.3999999999996,949,0.3333333333333333
BLPD,2,0,0,0,1
CAPD,2,0,0,0,1
N2,2,0,0,0,0
S1,2,0,0,0,0
IRPD,1,0,0,0,0
S3,1,1084,1084,0,0
SPPD,1,25,25,25,0
