station_beat,n,med_call_to_arrive,p90_call_to_arrive,med_dispatch_to_arrive,proactive_share
LXW,379,0,810.1999999999996,0,0.3007915567282322
LXS,281,0,1039,0,0.4483985765124555
LXE,279,0,1058.4,0,0.4767025089605735
LXM,235,207,1026.1999999999998,0,0.37446808510638296
LXN,204,324.5,1111.0000000000002,75.5,0.36764705882352944
N3,31,0,1,0,0.5806451612903226
W1,31,0,30,0,0.6451612903225806
S4,13,0,0,0,0.6153846153846154
W2,9,0,10.799999999999965,0,0.7777777777777778
WCPD,3,0,0.7999999999999998,0,0.6666666666666666
GAPD,1,695,695,695,0
PIPD,1,0,0,0,0
